symbol,name,sector
CAY,Canyon Resources Limited,Materials
QRE,BetaShares Australian Resources Sector ETF,Unclassified
SST,Steamships Trading Company Limited,Industrials
GLDN,iShares Physical Gold ETF,Unclassified
SVL,Silver Mines Limited,Materials
WXHG,SPDR S&P World ex Australia Carbon Control (Hedged) Fund,Unclassified
PBH,Pointsbet Holdings Limited,Consumer Discretionary
AGI,Ainsworth Game Technology Limited,Consumer Discretionary
NVA,Nova Minerals Limited,Materials
MC2,Marimaca Copper Corp,Unclassified
AMH,AMCIL Limited,Financials
WJL,Webjet Group Limited,Unclassified
AUC,Ausgold Limited,Materials
XGOV,VanEck 10+ Year Australian Government Bond ETF,Unclassified
HZN,Horizon Oil Limited,Energy
PIA,Pengana International Equities Limited,Financials
TBR,Tribune Resources Ltd,Materials
ATR,Astron Corporation Limited,Materials
WDIV,SPDR S&P Global Dividend Fund,Unclassified
PAC,Pacific Current Group Limited,Financials
VYS,Vysarn Limited,Materials
IHHY,iShares Global High Yield Bond (AUD Hedged) ETF,Unclassified
PWR,Peter Warren Automotive Holdings Limited,Consumer Discretionary
RCB,Russell Investments Australian Select Corporate Bond ETF,Unclassified
OCC,Orthocell Limited,Health Care
KGN,Kogan.com Limited,Consumer Discretionary
HUM,Humm Group Limited,Financials
RXL,Rox Resources Limited,Materials
BNZ,Benz Mining Corp,Materials
DUG,DUG Technology Ltd,Information Technology
MSTR,Morningstar International Shares Active ETF (Managed Fund),Unclassified
ERD,EROAD Limited,Information Technology
ASL,Andean Silver Limited,Materials
VLC,Vanguard MSCI Australian Large Companies Index ETF,Unclassified
AESG,iShares Global Aggregate Bond ESG (AUD Hedged) ETF,Unclassified
REP,RAM Essential Services Property Fund,Real Estate
XRF,XRF Scientific Limited,Industrials
HLO,Helloworld Travel Limited,Consumer Discretionary
AFP,AFT Pharmaceuticals Limited,Health Care
SVR,Solvar Limited,Financials
SMLL,Betashares Australian Small Companies Select Fund (managed fund),Unclassified
RDV,Russell Investments High Dividend Australian Shares ETF,Unclassified
GRR,Grange Resources Limited,Materials
ACE,Acusensus Limited,Information Technology
DXB,Dimerix Limited,Health Care
UMAX,BetaShares S&P 500 Yield Maximiser Fund (managed fund),Unclassified
IHCB,iShares Core Global Corporate Bond (AUD Hedged) ETF,Unclassified
MPW,Metal Powder Works Limited,Industrials
SFC,Schaffer Corporation Limited,Consumer Discretionary
CEL,Challenger Gold Limited,Materials
AAR,Astral Resources NL,Materials
SKO,Serko Limited,Information Technology
WA8,Warriedar Resources Limited,Materials
TBN,Tamboran Resources Limited,Energy
WMX,WAM Income Maximiser Limited,Financials
MRE,Metrics Real Estate Multi-Strategy Fund,Unclassified
ATA,Atturra Limited,Information Technology
GG8,Gorilla Gold Mines Ltd,Materials
GVF,Staude Capital Global Value Fund Limited,Financials
MTO,MotorCycle Holdings Limited,Consumer Discretionary
FWD,Fleetwood Limited,Consumer Discretionary
WC8,Wildcat Resources Limited,Materials
BGD,Barton Gold Holdings Limited,Materials
ARX,Aroa Biosurgery Limited,Health Care
AR1,Austral Resources Australia Ltd,Materials
GHIF,Ausbil Global Essential Infrastructure Fund (Hedged) - Active ETF,Unclassified
TOK,Tolu Minerals Limited,Materials
BCN,Beacon Minerals Limited,Materials
MVF,Monash IVF Group Limited,Health Care
ROBO,Global X ROBO Global Robotics & Automation ETF,Unclassified
HVST,BetaShares Australian Dividend Harvester Fund (managed fund),Unclassified
MVB,Vaneck Vectors Australian Banks ETF,Unclassified
CRYP,BetaShares Crypto Innovators ETF,Unclassified
VDCO,Vanguard Diversified Conservative Index ETF,Unclassified
IVZ,Invictus Energy Limited,Energy
ECF,Elanor Commercial Property Fund,Real Estate
DFND,VanEck Global Defence ETF,Unclassified
WRK,Wrkr Ltd,Information Technology
LGL,Lynch Group Holdings Limited,Consumer Staples
ARR,American Rare Earths Limited,Materials
BTR,Brightstar Resources Limited,Materials
BBT,betr Entertainment Limited,Consumer Discretionary
USL,Unico Silver Limited,Materials
RDY,ReadyTech Holdings Limited,Information Technology
QHSM,VanEck MSCI International Small Companies Quality (AUD Hedged) ETF,Unclassified
WAX,WAM Research Limited,Financials
BOT,Botanix Pharmaceuticals Limited,Health Care
SGR,The Star Entertainment Group Limited,Consumer Discretionary
MM8,Medallion Metals Limited,Materials
RGB,Russell Investments Australian Government Bond ETF,Unclassified
BKY,Berkeley Energia Limited,Energy
GDF,Garda Property Group,Real Estate
STN,Saturn Metals Limited,Materials
RHI,Red Hill Minerals Limited,Materials
GRNV,VanEck MSCI Australian Sustainable Equity ETF,Unclassified
IMB,Intelligent Monitoring Group Limited,Industrials
CTT,Cettire Limited,Consumer Discretionary
CVC,CVC Limited,Financials
URNM,Betashares Global Uranium ETF,Unclassified
LEND,VanEck Global Listed Private Credit (AUD Hedged) ETF,Unclassified
PLT,Plenti Group Limited,Financials
GRX,GreenX Metals Limited,Materials
ESGI,VanEck MSCI International Sustainable Equity ETF,Unclassified
CTM,Centaurus Metals Limited,Materials
BBOZ,BetaShares Australian Equities Strong Bear Hedge Fund,Unclassified
BIS,Bisalloy Steel Group Limited,Materials
UOS,United Overseas Australia Limited,Real Estate
ASM,Australian Strategic Materials Limited,Materials
POL,Polymetals Resources Ltd,Materials
EGR,EcoGraf Limited,Materials
RIV,Rivco Australia Ltd,Utilities
FRI,Finbar Group Limited,Real Estate
PLA,Pacific Lime and Cement Limited,Materials
EGH,Eureka Group Holdings Limited,Real Estate
3DA,Amaero Ltd,Industrials
PEN,Peninsula Energy Limited,Energy
MQSD,Macquarie Subordinated Debt Active ETF,Unclassified
ENR,Encounter Resources Limited,Materials
IIND,BetaShares India Quality ETF,Unclassified
WHI,Whitefield Income Limited,Unclassified
PMT,PMET Resources Inc.,Materials
GBND,BetaShares Sustainability Leaders Diversified Bond ETF - Currency Hedged,Unclassified
LAU,Lindsay Australia Limited,Industrials
EBND,VanEck Emerging Income Opportunities Active ETF (Managed Fund),Unclassified
SWM,Seven West Media Limited,Communication Services
WTM,Waratah Minerals Limited,Materials
NYR,Nyrada Inc,Health Care
MVS,Vaneck Vectors Small Companies Masters ETF,Unclassified
GCQF,GCQ Global Equities Complex ETF,Unclassified
GML,Gateway Mining Limited,Materials
CCV,Cash Converters International Limited,Financials
NDIA,Global X India Nifty 50 ETF,Unclassified
IKE,ikeGPS Group Limited,Information Technology
WWI,West Wits Mining Limited,Materials
OMH,OM Holdings Limited,Materials
CDM,Cadence Capital Limited,Financials
SXL,Southern Cross Media Group Limited,Communication Services
FDV,Frontier Digital Ventures Limited,Communication Services
ARMR,Betashares Global Defence ETF,Unclassified
TLG,Talga Group Ltd,Materials
FXG,Felix Gold Limited,Materials
URF,US Masters Residential Property Fund,Real Estate
WMA,WAM Alternative Assets Limited,Financials
FEMX,Fidelity Global Emerging Markets Fund,Unclassified
APX,Appen Limited,Information Technology
VEE,Veem Limited,Industrials
NZM,NZME Limited,Communication Services
ERM,Emmerson Resources Limited,Materials
RNU,Renascor Resources Limited,Materials
AEE,Aura Energy Limited,Energy
WAR,WAM Strategic Value Limited,Financials
NUGG,VanEck Gold Bullion ETF,Unclassified
UTIP,Betashares Inflation-Protected U.S. Treasury Bond Currency Hedged ETF,Unclassified
IKO,iShares MSCI South Korea Capped ETF,Unclassified
DAI,Decidr AI Industries Ltd,Consumer Staples
HPG,Hipages Group Holdings Limited,Communication Services
LDX,Lumos Diagnostics Holdings Limited,Health Care
AIM,Ai-Media Technologies Limited,Industrials
MYG,Mayfield Group Holdings Limited,Industrials
GBZ,GBM Resources Limited,Materials
CUP,Count Limited,Industrials
BTI,Bailador Technology Investments Limited,Financials
CAA,Capral Limited,Materials
VCF,Vanguard International Credit Securities Index (Hedged) ETF,Unclassified
BET,Betmakers Technology Group,Consumer Discretionary
AUE,Aurum Resources Limited,Materials
SSG,Shaver Shop Group Limited,Consumer Discretionary
RCT,Reef Casino Trust,Consumer Discretionary
AKP,Audio Pixels Limited,Consumer Discretionary
MCM,MC Mining Limited,Energy
FDR,Finder Energy Holdings Limited,Energy
DRE,Dreadnought Resources Limited,Materials
WAT,Waterco Limited,Consumer Discretionary
SOM,SomnoMed Limited,Health Care
GXAI,Global X Artificial Intelligence ETF,Unclassified
HJPN,BetaShares Japan ETF - Currency Hedged,Unclassified
CEH,Coast Entertainment Holdings Limited,Consumer Discretionary
BCK,Brockman Mining Ltd,Materials
EMV,Emvision Medical Devices Limited,Health Care
ANG,Austin Engineering Limited,Industrials
EWC,Energy World Corporation Limited,Utilities
KMD,KMD Brands Limited,Consumer Discretionary
XARO,Activex Ardea Real Outcome Bond Fund (Managed Fund),Unclassified
A1N,ARN Media Limited,Communication Services
PAR,Paradigm Biopharmaceuticals Limited,Health Care
TGM,Theta Gold Mines Limited,Materials
CVN,Carnarvon Energy Limited,Energy
ZEO,Zeotech Limited,Materials
GSUS,Candriam Sustainable Global Equity Fund - Active ETF,Unclassified
WDMF,iShares Edge MSCI World Multifactor ETF,Unclassified
PEB,Pacific Edge Limited,Health Care
ART,Airtasker Limited,Communication Services
3PL,3P Learning Limited,Consumer Discretionary
EZL,Euroz Hartleys Group Limited,Financials
JEPI,JPMorgan Equity Premium Income Active ETF (Managed Fund),Unclassified
MNRS,BetaShares Global Gold Miners ETF - Currency Hedged,Unclassified
AHC,Austco Healthcare Limited,Health Care
VVA,Viva Leisure Limited,Consumer Discretionary
TMG,Trigg Minerals Limited,Materials
PCX,Pengana Global Private Credit Trust,Unclassified
TTM,Titan Minerals Limited,Materials
HCH,Hot Chili Limited,Materials
RML,Resolution Minerals Limited,Materials
GGOV,BetaShares U.S. Treasury Bond 20+ Year ETF - Currency Hedged,Unclassified
FHE,Frontier Energy Limited,Utilities
TRE,Toubani Resources Inc,Materials
DRUG,BetaShares Global Healthcare ETF - Currency Hedged,Unclassified
OZR,SPDR S&P/ASX 200 Resources Fund,Unclassified
QGL,Quantum Graphite Limited,Materials
ETM,Energy Transition Minerals Ltd,Materials
VTM,Victory Metals Limited,Materials
SEC,Spheria Emerging Companies Limited,Financials
AHX,Apiam Animal Health Limited,Health Care
OMA,Omega Oil and Gas Limited,Energy
GLN,Galan Lithium Limited,Materials
BAOR,Aoris International Fund (Managed Fund) Class B,Unclassified
A1G,African Gold Limited,Materials
KOV,Korvest Ltd,Industrials
HRZ,Horizon Minerals Limited,Materials
TGF,Tribeca Global Natural Resources Limited,Financials
HZR,Hazer Group Limited,Materials
VDAL,Vanguard Diversified All Growth Index ETF,Unclassified
BWN,Bhagwan Marine Limited,Industrials
DGL,DGL Group Limited,Materials
COI,Comet Ridge Limited,Energy
JYC,Joyce Corporation Ltd,Consumer Discretionary
KAU,Kaiser Reef Limited,Materials
CLX,CTI Logistics Limited,Industrials
VHM,VHM Limited,Materials
EQR,EQ Resources Limited,Materials
BRL,Bathurst Resources Limited,Materials
APW,AIMS Property Securities Fund,Real Estate
CY5,Cygnus Metals Limited,Materials
DAOR,Aoris International Fund (Managed Fund) Class D,Unclassified
U100,Global X US 100 ETF,Unclassified
MCCL,Munro Climate Change Leaders Fund (Managed Fund),Unclassified
KYP,Kinatico Limited,Information Technology
STM,Sunstone Metals Limited,Materials
ONE,Oneview Healthcare Plc,Health Care
TBIL,VanEck 1-3 Month US Treasury Bond ETF,Unclassified
TSO,Tesoro Gold Limited,Materials
SPL,Starpharma Holdings Limited,Health Care
GHHF,Betashares Wealth Builder Diversified All Growth Geared (30-40% LVR) Complex ETF,Unclassified
RYD,Ryder Capital Limited,Financials
CRD,Conrad Asia Energy Ltd,Energy
PRG,PRL Global Limited,Materials
YOJ,Yojee Limited,Information Technology
NNWH,Nanuk New World Fund (Currency Hedged) Active Fund,Unclassified
NDO,Nido Education Limited,Consumer Discretionary
ORN,Orion Minerals Limited,Materials
PSC,Prospect Resources Limited,Materials
FAL,Falcon Metals Limited,Materials
SNC,Sandon Capital Investments Limited,Financials
LSX,Lion Selection Group Limited,Financials
OFX,OFX Group Limited,Financials
A11,Atlantic Lithium Limited,Materials
CCR,Credit Clear Limited,Information Technology
NOL,NobleOak Life Limited,Financials
GARP,Global X S&P World ex Australia GARP ETF,Unclassified
IFN,Infragreen Group Limited,Industrials
FSA,FSA Group Limited,Financials
MCA,Murray Cod Australia Limited,Consumer Staples
MXI,MaxiPARTS Limited,Industrials
BUB,Bubs Australia Limited,Consumer Staples
AV1,Adveritas Limited,Information Technology
ISO,iShares S&P/ASX Small Ordinaries ETF,Unclassified
AUMF,iShares Edge MSCI Australia Multifactor ETF,Unclassified
HNG,Hancock & Gore Ltd,Industrials
VMM,Viridis Mining and Minerals Limited,Materials
MOGL,Montaka Global Long Only Equites Fund (Managed Fund),Unclassified
MHJ,Michael Hill International Limited,Consumer Discretionary
VLS,Vita Life Sciences,Health Care
IXI,iShares Global Consumer Staples ETF,Unclassified
MLG,MLG Oz Limited,Materials
GL1,Global Lithium Resources Limited,Materials
SKK,Stakk Limited,Information Technology
BBUS,BetaShares U.S. Equities Strong Bear Hedge Fund - Currency Hedged,Unclassified
QPM,QPM Energy Limited,Materials
BHM,Broken Hill Mines Limited,Materials
RND,Rand Mining Limited,Materials
HAS,Hastings Technology Metals Limited,Materials
ACW,Actinogen Medical Limited,Health Care
AKM,Aspire Limited,Materials
EIQ,Echo IQ Limited,Information Technology
ALC,Alcidion Group Limited,Health Care
OSM,Osmond Resources Limited,Materials
DLI,Delta Lithium Limited,Materials
ARL,Ardea Resources Limited,Materials
FLC,Fluence Corporation Limited,Utilities
GPR,Geopacific Resources Limited,Materials
TOR,Torque Metals Limited,Materials
AGE,Alligator Energy Limited,Energy
HRN,Horizon Gold Limited,Materials
EL8,Elevate Uranium Limited,Energy
FUEL,BetaShares Global Energy Companies ETF - Currency Hedged,Unclassified
BRI,Big River Industries Limited,Materials
EVO,Embark Early Education Limited,Consumer Discretionary
TM1,Terra Metals Limited,Materials
FND,Findi Limited,Financials
GSCF,Ausbil Global SmallCap Fund - Active ETF,Unclassified
SS1,Sun Silver Limited,Materials
BM1,Ballard Mining Limited,Materials
ASN,Anson Resources Limited,Materials
TRJ,Trajan Group Holdings Limited,Health Care
SPD,Southern Palladium Limited,Materials
GOW,Gowing Brothers Limited,Financials
GLB,Globe International Limited,Consumer Discretionary
TOP,Thorney Opportunities Limited,Real Estate
GHM,Golden Horse Minerals Limited,Materials
HQLT,BetaShares Global Quality Leaders ETF - Currency Hedged,Unclassified
B4P,Beforepay Group Limited,Financials
KAI,Kairos Minerals Limited,Materials
BBL,Brisbane Broncos Limited,Communication Services
HGO,Hillgrove Resources Limited,Materials
MDX,Mindax Limited,Materials
RCE,Recce Pharmaceuticals Limited,Health Care
ELT,Elementos Limited,Materials
CLV,Clover Corporation Limited,Materials
BNKS,BetaShares Global Banks  ETF  Currency Hedged,Unclassified
VNL,Vinyl Group Ltd,Information Technology
AS1,Asara Resources Limited,Materials
SDI,SDI Limited,Health Care
SHJ,Shine Justice Ltd,Consumer Discretionary
OIL,Optiscan Imaging Limited,Health Care
ENN,Elanor Investors Group,Consumer Discretionary
TTX,Tetratherix Limited,Health Care
KGL,KGL Resources Limited,Materials
PIXX,Platinum International Fund (Quoted Managed Hedge Fund),Unclassified
TWD,Tamawood Limited,Consumer Discretionary
EXP,Experience Co Limited,Consumer Discretionary
AXE,Archer Materials Limited,Information Technology
FLN,Freelancer Limited,Industrials
LKO,Lakes Blue Energy NL,Energy
DZZF,BetaShares Ethical Diversified High Growth ETF,Unclassified
IMU,Imugene Limited,Health Care
ILA,Island Pharmaceuticals Limited,Health Care
SND,Saunders International Limited,Industrials
ATH,Alterity Therapeutics Limited,Health Care
ESPO,VanEck Video Gaming and Esports ETF,Unclassified
AL3,AML3D Limited,Industrials
IXR,Ionic Rare Earths Limited,Materials
YRL,Yandal Resources Limited,Materials
ALA,Arovella Therapeutics Limited,Health Care
LKY,Locksley Resources Limited,Materials
PTN,Patronus Resources Limited,Materials
KKO,Kinetiko Energy Ltd,Energy
ABY,Adore Beauty Group Limited,Consumer Discretionary
MHG,Magellan Global Equities Fund (Currency Hedged),Unclassified
G50,G50 Corp Limited,Materials
ORE,Orezone Gold Corporation,Materials
PNC,Pioneer Credit Limited,Financials
EZZ,EZZ Life Science Holdings Limited,Health Care
KSN,Kingston Resources Limited,Materials
CNB,Carnaby Resources Limited,Materials
ST1,Spirit Technology Solutions Ltd,Information Technology
LRM,Lion Rock Minerals Ltd,Materials
ARN,Aldoro Resources Limited,Materials
AVL,Australian Vanadium Limited,Materials
PLY,PlaySide Studios Limited,Communication Services
DTEC,Global X Defence Tech ETF,Unclassified
ALR,Altair Minerals Limited,Materials
IHEB,iShares JP Morgan USD Emerging Mkt Bnd AUD Hdg ETF,Unclassified
GHLD,Global X Global Bullion (Currency Hedged) ETF,Unclassified
BIO,Biome Australia Limited,Consumer Staples
PTR,Petratherm Limited,Materials
IOD,IODM Limited,Information Technology
E200,SPDR S&P/ASX ESG 200 FUND,Unclassified
LEVR,First Sentier Geared Australian Share Fund Complex ETF,Unclassified
AVR,Anteris Technologies Ltd,Health Care
CRS,Caprice Resources Limited,Materials
BML,Boab Metals Limited,Materials
CNEW,VanEck China New Economy ETF,Unclassified
WOT,WOTSO,Real Estate
CAM,Clime Capital Limited,Financials
AVH,"AVITA Medical, Inc.",Health Care
GHY,Gold Hydrogen Limited,Energy
RZI,Raiz Invest Limited,Financials
TGN,Tungsten Mining NL,Materials
ATC,Altech Batteries Ltd,Materials
IIGF,Intelligent Investor Australian Equity Growth Fund,Unclassified
HMY,Harmoney Corp Limited,Financials
CVV,Caravel Minerals Limited,Materials
FGH,Foresta Group Holdings Limited,Materials
ATOM,Global X Uranium ETF,Unclassified
ARA,Ariadne Australia Limited,Financials
CZR,CZR Resources Ltd,Materials
LIS,Li-S Energy Limited,Industrials
PCK,PainChek Limited,Health Care
CHW,Chilwa Minerals Limited,Materials
ECL,Excelsior Capital Limited,Industrials
DRX,Diatreme Resources Limited,Materials
HAV,Havilah Resources Limited,Materials
VR1,Vection Technologies Ltd,Information Technology
NZK,New Zealand King Salmon Investments Limited,Consumer Staples
ATG,Articore Group Limited,Consumer Discretionary
MTH,Mithril Silver and Gold Limited,Materials
SGI,Stealth Group Holdings Ltd,Industrials
PHX,PharmX Technologies Limited,Information Technology
PPE,Peoplein Limited,Industrials
LMG,Latrobe Magnesium Limited,Materials
MAT,Matsa Resources Limited,Materials
DBF,Duxton Farms Limited,Consumer Staples
MQDB,Macquarie Dynamic Bond Active ETF (Managed Fund),Unclassified
JPEQ,JPMorgan US 100Q Equity Premium Income Active ETF (Managed Fund),Unclassified
OOO,BetaShares Crude Oil Index ETF-Currency Hedged Synthetic,Unclassified
IVR,Investigator Resources Limited,Materials
STP,Step One Clothing Limited,Consumer Discretionary
EGL,The Environmental Group Limited,Industrials
NMR,Native Mineral Resources Holdings Limited,Materials
MME,MoneyMe Limited,Financials
TOT,360 Capital Total Return Fund,Real Estate
NNL,Nordic Resources Ltd,Materials
MM1,Midas Minerals Ltd,Materials
FRS,Forrestania Resources Limited,Materials
XASG,Alphinity Global Sustainable Equity Fund (Managed Fund),Unclassified
COS,COSOL Limited,Information Technology
MKAX,Montaka Global Extension Fund,Unclassified
RFG,Retail Food Group Limited,Consumer Discretionary
ERTH,BetaShares Climate Change Innovation ETF,Unclassified
CXL,Calix Limited,Materials
CGUN,Claremont Global Fund (Managed Fund),Unclassified
ACQ,Acorn Capital Investment Fund,Financials
TZN,Terramin Australia Limited,Materials
AYLD,Global X S&P/ASX 200 Covered Call ETF,Unclassified
SHG,Singular Health Group Limited,Health Care
ZYAU,Global X S&P/ASX 300 High Yield Plus ETF,Unclassified
NWF,Newfield Resources Limited,Materials
ATP,Atlas Pearls Ltd,Consumer Discretionary
BXN,Bioxyne Limited,Consumer Staples
IMA,Image Resources NL,Materials
SNS,SenSen Networks Limited,Information Technology
MMA,Maronan Metals Limited,Materials
MQEG,Macquarie Core Global Equity Fund,Unclassified
EDU,EDU Holdings Limited,Consumer Discretionary
CYG,Coventry Group Ltd,Industrials
NVU,Nanoveu Limited,Information Technology
DCC,DigitalX Limited,Information Technology
5GOV,VanEck 5-10 Year Australian Government Bond ETF,Unclassified
CRI,Critica Limited,Materials
E25,Element 25 Limited,Materials
CD3,Cordish Dixon Private Equity Fund III,Financials
CUE,Cue Energy Resources Limited,Energy
FGR,First Graphene Limited,Materials
LRT,Lowell Resources Fund,Financials
AIQ,Alternative Investment Trust,Financials
WAA,WAM Active Limited,Financials
PCL,Pancontinental Energy NL,Energy
VEFI,Vanguard Ethically Conscious Global Aggregate Bond Index Hedged ETF,Unclassified
SEG,Sports Entertainment Group Limited,Communication Services
ECH,Echelon Resources Limited,Energy
ESK,Etherstack Plc,Information Technology
AGY,Argosy Minerals Limited,Materials
INES,Intelligent Investor Ethical Share Fund (Managed Fund),Unclassified
HCRD,BetaShares Interest Rate Hedged Australian Investment Grade Corporate Bond ETF,Unclassified
SPG,SPC Global Holdings Limited,Consumer Staples
WVOL,iShares Edge MSCI World Minimum Volatility ETF,Unclassified
LCY,Legacy Iron Ore Limited,Materials
MVP,Medical Developments International Limited,Health Care
IPD,ImpediMed Limited,Health Care
ANO,Advance Zinctek Limited,Materials
LKE,Lake Resources NL,Materials
CUF,CuFe Ltd,Materials
MX1,Micro-X Limited,Health Care
LRK,Lark Distilling Co. Ltd,Consumer Staples
TPC,TPC Consolidated Limited,Utilities
MEU,Marmota Limited,Energy
INIF,Intelligent Investor Australian Equity Income Fund (Managed Fund),Unclassified
PEX,Peel Mining Limited,Materials
CAF,Centrepoint Alliance Limited,Financials
HEUR,BetaShares Europe ETF - Currency Hedged,Unclassified
CLNE,VanEck Global Clean Energy ETF,Unclassified
AHL,Adrad Holdings Limited,Consumer Discretionary
TAM,Tanami Gold NL,Materials
MQIO,Macquarie Income Opportunities Active ETF (Managed Fund),Unclassified
JBY,James Bay Minerals Limited,Materials
MAM,Microequities Asset Management Group,Financials
GBR,Great Boulder Resources Limited,Materials
IYLD,iShares Yield Plus ETF,Unclassified
AFA,ASF Group Limited,Financials
CYC,Cyclopharm Limited,Health Care
GSS,Genetic Signatures Limited,Health Care
TER,TerraCom Limited,Energy
HIT,Hitech Group Australia Limited,Industrials
M7T,Mach7 Technologies Limited,Health Care
BSX,Blackstone Minerals Limited,Materials
ZYUS,Global X S&P 500 High Yield Low Volatility ETF,Unclassified
QFN,BetaShares Australian Financials Sector ETF,Unclassified
CAE,Cannindah Resources Limited,Materials
MSV,Mitchell Services Limited,Materials
AII,Almonty Industries Inc,Materials
IR1,Iris Metals Limited,Materials
ATX,Amplia Therapeutics Limited,Health Care
SSL,Sietel Limited,Real Estate
NH3,NH3 Clean Energy Limited,Materials
PVE,Po Valley Energy Limited,Energy
BB1,BlinkLab Limited,Health Care
VRX,VRX Silica Ltd,Materials
FRM,Farm Pride Foods Ltd,Consumer Staples
MRD,Mount Ridley Mines Limited,Materials
OPN,Openn Negotiation Limited,Industrials
PCG,Pengana Capital Group,Financials
USD,BetaShares U.S. Dollar ETF,Unclassified
GOVT,SPDR S&P/ASX Australian Government Bond Fund,Unclassified
RKN,Reckon Limited,Information Technology
IRI,Integrated Research Limited,Information Technology
IISV,Intelligent Investor Select Value Share Fund (Managed Fund),Unclassified
RAD,Radiopharm Theranostics Limited,Health Care
LM8,Lunnon Metals Limited,Materials
GROW,Schroder Real Return (Managed Fund),Unclassified
POD,Podium Minerals Limited,Materials
ESR,Estrella Resources Limited,Materials
VTX,Vertex Minerals Limited,Materials
EPM,Eclipse Metals Ltd,Energy
GPEQ,VanEck Global Listed Private Equity ETF,Unclassified
SB2,Salter Brothers Emerging Companies Limited,Financials
VFY,Vitrafy Life Sciences Limited,Health Care
SDV,SciDev Limited,Materials
KPO,Kalina Power Limited,Utilities
AAL,Alfabs Australia Limited,Industrials
BCA,Black Canyon Limited,Materials
CGHE,Claremont Global Fund (hedged) (Managed Fund),Unclassified
AOF,Australian Unity Office Fund,Real Estate
EMP,Emperor Energy Limited,Energy
ADN,Andromeda Metals Limited,Materials
LBL,Laserbond Limited,Industrials
SMN,Structural Monitoring Systems Plc,Information Technology
DEV,DevEx Resources Limited,Materials
PFG,Prime Financial Group Limited,Financials
CYP,Cynata Therapeutics Limited,Health Care
CMP,Compumedics Limited,Health Care
NUZ,Neurizon Therapeutics Limited,Health Care
COB,Cobalt Blue Holdings Limited,Materials
NXD,NextEd Group Limited,Consumer Discretionary
TGP,360 Capital Group,Financials
CLE,Cyclone Metals Limited,Materials
SHM,Shriro Holdings Limited,Consumer Discretionary
EXR,Elixir Energy Limited,Energy
GOAT,VanEck Morningstar International Wide Moat ETF,Unclassified
JAL,Jameson Resources Limited,Materials
FFI,FFI Holdings Limited,Consumer Staples
INCM,BetaShares Global Income Leaders ETF,Unclassified
DCOR,Daintree Core Income Active ETF,Unclassified
RWL,Rubicon Water Limited,Information Technology
SWTZ,Switzer Dividend Growth Fund (Quoted Managed Fund),Unclassified
EGG,Enero Group Limited,Communication Services
FOOD,BetaShares Global Agriculture Companies ETF - Currency Hedged,Unclassified
DVL,dorsaVi Ltd,Health Care
M79,Mammoth Minerals Limited,Materials
SRZ,Stellar Resources Limited,Materials
RSM,Russell Investments Australian Semi-Government Bond ETF,Unclassified
MTC,MetalsTech Limited,Materials
SKY,Sky Metals Limited,Materials
MKR,Manuka Resources Limited,Materials
SHN,Sunshine Metals Limited,Materials
JAN,Janison Education Group Limited,Information Technology
AR3,Australian Rare Earths Limited,Materials
TOE,Toro Energy Limited,Energy
BOL,Boom Logistics Limited,Industrials
FLX,Felix Group Holdings Ltd,Information Technology
BMT,Beamtree Holdings Limited,Health Care
CTE,Cryosite Limited,Health Care
GUM,Gumtree Australia Markets Limited,Communication Services
MPA,Mad Paws Holdings Limited,Consumer Discretionary
AEBD,Betashares Ethical Australian Composite Bond ETF,Unclassified
UBN,Urbanise.com Limited,Information Technology
BCM,Brazilian Critical Minerals Limited,Materials
MCE,Matrix Composites & Engineering Ltd,Energy
PXX,PolarX Limited,Materials
RTH,RAS Technology Holdings Limited,Industrials
CC5,Clever Culture Systems Limited,Health Care
SNAS,Global X Ultra Short Nasdaq 100 Hedge Fund,Unclassified
MAY,Melbana Energy Limited,Energy
EPY,Earlypay Ltd,Financials
EMH,European Metals Holdings Limited,Materials
CSX,CleanSpace Holdings Limited,Health Care
GTN,GTN Limited,Communication Services
DSK,Dusk Group Limited,Consumer Discretionary
BVR,Bellavista Resources Limited,Materials
PHO,PhosCo Ltd,Materials
AQD,AusQuest Limited,Materials
NSC,NAOS Small Cap Opportunities Company,Financials
DGGF,BetaShares Ethical Diversified Growth ETF,Unclassified
LPHD,Loftus Peak Global Disruption Hedged Active ETF,Unclassified
FSI,Flagship Investments Limited,Financials
BEAR,BetaShares Australian Equities Bear Hedge Fund,Unclassified
PPL,Pureprofile Limited,Information Technology
RTR,Rumble Resources Limited,Materials
AUN,Aurumin Limited,Materials
JREG,JPMorgan Global Research Enhanced Index Equity Active ETF (Managed Fund),Unclassified
FEG,Far East Gold Ltd,Materials
PIQ,Proteomics International Laboratories Ltd,Health Care
DOC,Doctor Care Anywhere Group plc,Health Care
AW1,American West Metals Limited,Materials
TYP,Tryptamine Therapeutics Limited,Health Care
WR1,Winsome Resources Limited,Materials
AWJ,Auric Mining Limited,Materials
SIO,Simonds Group Limited,Consumer Discretionary
GTG,Genetic Technologies Limited,Health Care
WTL,WT Financial Group Limited,Financials
RDM,Red Metal Limited,Materials
ION,Iondrive Limited,Materials
TCF,360 Capital Mortgage REIT,Financials
TEK,Thorney Technologies Limited,Energy
DHOF,Daintree Hybrid Opportunities Fund (Managed Fund),Unclassified
GNDQ,Betashares Wealth Builder Nasdaq 100 Geared (30-40% LVR) Complex ETF,Unclassified
CPV,ClearVue Technologies Limited,Industrials
